champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
5,kr,GOLD,10,6,5.25,23278.7,13308.6,186.2,32.5,0.6,0.0092,0.0656
5,kr,PLATINUM,8,4,2.12,25075.5,11767.25,160.88,25.88,0.5,0.0071,0.0441
5,na1,DIAMOND,12,6,4.56,19949.92,11436.83,180.42,21.42,0.5,0.0104,0.0294
5,na1,EMERALD,1,0,1.11,14312.0,9476.0,99.0,12.0,0.0,0.0009,0.0239
5,na1,GOLD,3,1,2.38,17557.0,10118.0,139.0,12.0,0.3333,0.0029,0.0124
5,na1,PLATINUM,6,5,2.95,33235.67,16120.67,230.5,33.5,0.8333,0.0053,0.0152
6,eun1,DIAMOND,13,10,3.5,19723.08,11250.0,181.38,16.54,0.7692,0.0113,0.0122
6,euw1,DIAMOND,1,0,1.75,15465.0,10280.0,191.0,25.0,0.0,0.0009,0.0043
6,euw1,EMERALD,36,20,2.42,21999.97,11954.5,174.89,25.61,0.5556,0.0328,0.0091
6,euw1,GOLD,9,3,1.46,23302.67,11210.0,190.78,11.33,0.3333,0.008,0.0142
6,euw1,PLATINUM,19,10,5.0,27667.21,13074.05,198.05,16.21,0.5263,0.0166,0.0148
6,kr,EMERALD,1,0,0.33,4071.0,4507.0,102.0,7.0,0.0,0.0009,0.0018
6,kr,GOLD,19,9,3.07,18014.53,11617.63,182.84,13.16,0.4737,0.0176,0.0046
6,kr,PLATINUM,1,1,2.4,15107.0,10561.0,153.0,10.0,1.0,0.0009,0.0018
6,na1,DIAMOND,2,0,1.04,22336.0,10901.5,224.5,13.5,0.0,0.0017,0.0147
6,na1,GOLD,27,17,4.63,21210.37,12632.07,198.74,15.26,0.6296,0.0257,0.0238
6,na1,PLATINUM,4,1,1.21,16677.75,9783.5,147.25,14.25,0.25,0.0036,0.0178
7,eun1,DIAMOND,2,2,2.6,18435.5,10769.0,169.0,26.0,1.0,0.0017,0.0923
7,eun1,EMERALD,3,2,3.09,21355.33,11805.0,168.0,21.0,0.6667,0.0026,0.0643
7,eun1,GOLD,20,13,2.71,28741.5,11976.5,133.7,18.25,0.65,0.0186,0.041
7,eun1,PLATINUM,8,3,3.4,25891.13,11473.13,159.38,18.75,0.375,0.007,0.0812
